epoch,acc,loss,val_acc,val_loss
0,0.93441665,0.21939472602059443,0.9695,0.09497310377657414
1,0.9748833,0.0826128082582727,0.9715,0.09403936807066202
2,0.98211664,0.05611057422531303,0.9762,0.07417203188640997
3,0.98723334,0.040281260096817276,0.9739,0.08751838798634708
4,0.99011666,0.03211292787843074,0.9794,0.0760133511456661
5,0.9906833,0.028197337309490346,0.9771,0.08322107301326469
6,0.99265,0.023032487456318147,0.9795,0.074262492780108
7,0.99345,0.020406373755419434,0.9788,0.08453476473107002
8,0.99341667,0.01972947508780635,0.9822,0.07056175736826845
9,0.99446666,0.016877844285997222,0.9748,0.10765012299641967
10,0.9949,0.014994821551178272,0.9785,0.1064868081061286
11,0.9958,0.01324463233062185,0.9786,0.09562692404026166
12,0.9958,0.013729537483433585,0.9815,0.08750367895932869
13,0.99581665,0.012089145355865487,0.9821,0.09098042330553653
14,0.99656665,0.010531579717874896,0.982,0.08571747940361092
15,0.99663335,0.010502301436754352,0.9817,0.0840806340900599
16,0.99705,0.009620635888931398,0.9825,0.08783882518868268
17,0.9964,0.01272302128811134,0.982,0.08809049831834273
18,0.9978,0.00749542653653748,0.9819,0.09053865507652517
19,0.99806666,0.007462346369945863,0.9796,0.10949762559881492
20,0.99658334,0.011086689698494563,0.9835,0.08953460879361956
21,0.9971667,0.009256630693397104,0.9789,0.1010631139400357
22,0.9970833,0.009083525890939654,0.9821,0.08423896816660999
23,0.99796665,0.006947207444441119,0.9831,0.09254396793819979
24,0.9982,0.006317415969715702,0.983,0.08927591823594412
25,0.99803334,0.007099377690135119,0.9805,0.10027631002361886
26,0.9976,0.007745657125018776,0.9809,0.11202629314371734
27,0.99775,0.007956129259403989,0.9837,0.08926612170500448
28,0.9989167,0.0044593870463156314,0.9858,0.07510958334439238
29,0.99953336,0.0019548458117090678,0.982,0.10633734658000321
